Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
ТР ХД 7 НЕКОНД,000000000000007346,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,7,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 7 1.5 СТ20 8734,000000000000007347,Труба,915,10270,1027002900,102700290001100,##,##,##,##,##,##,##,##,СТ20,8734,7,##,##,##,##,##,##,##,##,1.5,##,##
ТР ХД 8 НЕКОНД,000000000000007348,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,8,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 8 1 СТ20 8734,000000000000007349,Труба,915,10270,1027003000,102700300001100,##,##,##,##,##,##,##,##,СТ20,8734,8,##,##,##,##,##,##,##,##,1,##,##
ТР ХД 8 2 СТ20 8734,000000000000007350,Труба,915,10270,1027003000,102700300001100,##,##,##,##,##,##,##,##,СТ20,8734,8,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 10 НЕКОНД,000000000000007351,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,10,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 10 0.8 СТ20 8734,000000000000007352,Труба,915,10270,1027003100,102700310001100,##,##,##,##,##,##,##,##,СТ20,8734,10,##,##,##,##,##,##,##,##,0.8,##,##
ТР ХД 10 1 СТ20 8734,000000000000007353,Труба,915,10270,1027003100,102700310001100,##,##,##,##,##,##,##,##,СТ20,8734,10,##,##,##,##,##,##,##,##,1,##,##
ТР ХД 10 1.5 СТ20 8734,000000000000007354,Труба,915,10270,1027003100,102700310001100,##,##,##,##,##,##,##,##,СТ20,8734,10,##,##,##,##,##,##,##,##,1.5,##,##
ТР ХД 10 1.6 СТ20 8734,000000000000007355,Труба,915,10270,1027003100,102700310001100,##,##,##,##,##,##,##,##,СТ20,8734,10,##,##,##,##,##,##,##,##,1.6,##,##
ТР ХД 10 2 СТ20 8734,000000000000007356,Труба,915,10270,1027003100,102700310001100,##,##,##,##,##,##,##,##,СТ20,8734,10,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 10 2.5 СТ20 8734,000000000000007357,Труба,915,10270,1027003100,102700310001100,##,##,##,##,##,##,##,##,СТ20,8734,10,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 12 НЕКОНД,000000000000007358,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,12,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 12 1.5 СТ20 8734,000000000000007359,Труба,915,10270,1027003200,102700320001100,##,##,##,##,##,##,##,##,СТ20,8734,12,##,##,##,##,##,##,##,##,1.5,##,##
ТР ХД 12 2 СТ20 8734,000000000000007360,Труба,915,10270,1027003200,102700320001100,##,##,##,##,##,##,##,##,СТ20,8734,12,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 13 НЕКОНД,000000000000007361,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,13,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 13 2 СТ20 8734,000000000000007362,Труба,915,10270,1027003300,102700330001100,##,##,##,##,##,##,##,##,СТ20,8734,13,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 14 НЕКОНД,000000000000007363,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 14 1.5 СТ20 8734,000000000000007364,Труба,915,10270,1027003400,102700340001100,##,##,##,##,##,##,##,##,СТ20,8734,14,##,##,##,##,##,##,##,##,1.5,##,##
ТР ХД 14 2 СТ20 8734,000000000000007365,Труба,915,10270,1027003400,102700340001100,##,##,##,##,##,##,##,##,СТ20,8734,14,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 14 2.5 СТ20 8734,000000000000007366,Труба,915,10270,1027003400,102700340001100,##,##,##,##,##,##,##,##,СТ20,8734,14,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 14 3 СТ20 8734,000000000000007367,Труба,915,10270,1027003400,102700340001100,##,##,##,##,##,##,##,##,СТ20,8734,14,##,##,##,##,##,##,##,##,3,##,##
